11:58:25 **** Build of configuration Debug for project lab10 ****
cs-make all 
'Building file: ../lab10.c'
'Invoking: ARM Sourcery Windows GCC C Compiler'
arm-none-eabi-gcc -I../../BSP/include -O0 -Wall -Wa,-adhlns="lab10.o.lst" -c -fmessage-length=0 -mapcs-frame -MMD -MP -MF"lab10.d" -MT"lab10.d" -mcpu=arm7tdmi -g3 -gdwarf-2 -o "lab10.o" "../lab10.c"
../lab10.c:27:6: warning: return type of 'main' is not 'int'
'Finished building: ../lab10.c'
' '
'Building target: lab10.elf'
'Invoking: ARM Sourcery Windows GCC C Linker'
arm-none-eabi-gcc -T"../lab10.ld" -nostartfiles -L../../BSP/Debug -Wl,-Map,lab10.map -mcpu=arm7tdmi -g3 -gdwarf-2 -o "lab10.elf"  ./lab10.o   -lBSP
./lab10.o: In function `main':
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:129: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:130: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:134: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:135: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:136: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:140: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:141: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:142: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:146: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:147: undefined reference to `sw_delay_ms'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:148: undefined reference to `lcd_putchar_x2'
./lab10.o: In function `lcd_draw_grid':
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:156: undefined reference to `lcd_draw_box'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:157: undefined reference to `lcd_draw_box'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:158: undefined reference to `lcd_draw_box'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:159: undefined reference to `lcd_draw_box'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:160: undefined reference to `lcd_draw_box'
./lab10.o:C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:161: more undefined references to `lcd_draw_box' follow
./lab10.o: In function `lcd_draw_grid':
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:173: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:174: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:175: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:176: undefined reference to `lcd_putchar_x2'
C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:177: undefined reference to `lcd_putchar_x2'
./lab10.o:C:\hlocal\PSyD\labs\lab10\Debug/../lab10.c:178: more undefined references to `lcd_putchar_x2' follow
collect2: ld returned 1 exit status
cs-make: *** [lab10.elf] Error 1

11:58:26 Build Finished (took 1s.140ms)

